country,active_personnel,aircraft_carriers,aircraft_total,attack_helicopters,available_manpower,defense_budget,destroyers,fighters,foreign_exchange_gold,frigates,mlrs_rocket_artillery,natural_gas_consumption,natural_gas_production,oil_consumption,oil_production,oil_proven_reserves,power_index_rank,power_index_score,purchasing_power_parity,reserve_personnel,self_propelled_artillery,submarines,tanks,total_assets,total_population
France,23.0,4.0,10.0,11.0,23.0,7.0,6.0,12.0,15.0,14.0,72.0,87.0,85.0,116.0,45.0,65.0,6.0,0.1798,9.0,57.0,37.0,10.0,32.0,18.0,22.0
Gabon,137.0,145.0,93.0,145.0,133.0,128.0,145.0,60.0,126.0,145.0,60.0,23.0,64.0,8.0,33.0,34.0,132.0,3.0432,124.0,145.0,145.0,145.0,145.0,78.0,132.0
Georgia,85.0,145.0,77.0,34.0,106.0,109.0,145.0,145.0,104.0,145.0,55.0,41.0,88.0,25.0,82.0,70.0,95.0,2.0779,97.0,33.0,39.0,145.0,71.0,66.0,117.0
Germany,33.0,145.0,19.0,14.0,19.0,4.0,145.0,18.0,12.0,8.0,58.0,104.0,46.0,119.0,38.0,58.0,12.0,0.2463,6.0,11.0,30.0,12.0,47.0,38.0,19.0
Ghana,121.0,145.0,99.0,145.0,47.0,99.0,145.0,145.0,110.0,145.0,74.0,51.0,48.0,49.0,36.0,38.0,112.0,2.4566,69.0,145.0,145.0,145.0,145.0,65.0,44.0
Greece,40.0,145.0,20.0,24.0,84.0,43.0,145.0,16.0,70.0,5.0,31.0,56.0,91.0,89.0,75.0,79.0,30.0,0.5484,53.0,31.0,11.0,10.0,16.0,15.0,86.0
Guatemala,54.0,145.0,90.0,145.0,66.0,111.0,145.0,145.0,60.0,145.0,145.0,4.0,92.0,59.0,74.0,62.0,96.0,2.1277,70.0,49.0,145.0,145.0,145.0,62.0,68.0
Honduras,72.0,145.0,83.0,145.0,89.0,112.0,145.0,60.0,86.0,145.0,145.0,1.0,145.0,42.0,85.0,145.0,103.0,2.2575,106.0,145.0,145.0,145.0,93.0,37.0,90.0
Hungary,79.0,145.0,72.0,37.0,87.0,53.0,145.0,54.0,46.0,145.0,145.0,64.0,57.0,72.0,55.0,77.0,57.0,1.0429,54.0,75.0,58.0,145.0,55.0,53.0,89.0
Iceland,145.0,145.0,145.0,145.0,145.0,114.0,145.0,145.0,92.0,145.0,145.0,1.0,145.0,13.0,145.0,145.0,134.0,3.4013,134.0,145.0,145.0,145.0,145.0,145.0,145.0
